PATENT_AUTHORITIES,COUNTRY_NAME,OBS_VALUE_sum,OBS_VALUE_mean,OBS_VALUE_std,YEAR_min,YEAR_max,YEAR_count
6F0,Turkey,4223.77,168.95,288.26,2017,2021,25
6F0,UKR,184.47,7.69,13.89,2017,2020,24
6F0,URY,37.49,1.56,2.84,2017,2020,24
6F0,UZB,4.79,0.2,0.47,2017,2020,24
6F0,United Kingdom,37644.92,1505.8,2440.16,2017,2021,25
6F0,United States,241459.16,9658.37,15789.68,2017,2021,25
6F0,VEN,3.46,0.14,0.42,2017,2020,24
6F0,World Total,1003578.14,40143.13,65171.97,2017,2021,25
6F0,YUG_F,0.0,0.0,0.0,2017,2020,24
6F0,ZWE,0.83,0.03,0.11,2017,2020,24
9P50_1,AND,17.24,1.44,2.45,2017,2020,12
9P50_1,ARE,425.81,35.48,49.94,2017,2020,12
9P50_1,ARG,272.12,22.68,27.8,2017,2020,12
9P50_1,ARM,33.49,2.79,4.14,2017,2020,12
9P50_1,Australia,8288.09,690.67,866.81,2017,2020,12
9P50_1,Austria,6677.71,556.48,765.3,2017,2020,12
9P50_1,BGR,233.99,19.5,26.84,2017,2020,12
9P50_1,BIH,23.34,1.95,3.38,2017,2020,12
9P50_1,BLR,95.63,7.97,11.84,2017,2020,12
9P50_1,BMU,7.17,0.6,1.18,2017,2020,12
9P50_1,Belgium,5897.5,491.46,611.18,2017,2020,12
9P50_1,Brazil,3305.08,275.42,366.75,2017,2020,12
9P50_1,CHL,942.78,78.56,91.47,2017,2020,12
9P50_1,COL,533.87,44.49,58.9,2017,2020,12
9P50_1,CRI,70.75,5.9,8.43,2017,2020,12
9P50_1,CUB,72.69,6.06,5.31,2017,2020,12
9P50_1,CYM,50.72,4.23,5.94,2017,2020,12
9P50_1,CYP,83.61,6.97,7.67,2017,2020,12
9P50_1,Canada,13905.57,1158.8,1486.53,2017,2020,12
9P50_1,China,241102.19,20091.85,28331.77,2017,2020,12
9P50_1,Czech Republic,1012.39,84.37,114.29,2017,2020,12
9P50_1,DJI,0.0,0.0,0.0,2017,2020,12
9P50_1,DZA,44.48,3.71,5.24,2017,2020,12
9P50_1,Denmark,6422.54,535.21,664.29,2017,2020,12
9P50_1,ECU,56.02,4.67,8.58,2017,2020,12
9P50_1,EGY,209.53,17.46,21.68,2017,2020,12
9P50_1,Estonia,201.78,16.81,20.79,2017,2020,12
9P50_1,European Union (27),198387.99,16532.33,22431.99,2017,2020,12
9P50_1,Finland,5818.65,484.89,668.61,2017,2020,12
9P50_1,France,33083.58,2756.96,3679.09,2017,2020,12
9P50_1,GEO,31.78,2.65,3.58,2017,2020,12
9P50_1,GTM,7.05,0.59,0.98,2017,2020,12
9P50_1,Germany,77751.41,6479.28,9047.94,2017,2020,12
9P50_1,Greece,560.81,46.73,64.38,2017,2020,12
9P50_1,HRV,176.36,14.7,20.38,2017,2020,12
9P50_1,Hong Kong,3105.13,258.76,345.86,2017,2020,12
9P50_1,Hungary,1110.23,92.52,128.25,2017,2020,12
9P50_1,IRN,744.28,62.02,83.91,2017,2020,12
9P50_1,ISL,161.07,13.42,18.93,2017,2020,12
9P50_1,India,12532.23,1044.35,1432.1,2017,2020,12
9P50_1,Indonesia,72.8,6.07,8.72,2017,2020,12
9P50_1,Ireland,1975.13,164.59,218.7,2017,2020,12
9P50_1,Israel,10061.35,838.45,1048.06,2017,2020,12
9P50_1,Italy,15870.04,1322.5,1810.17,2017,2020,12
9P50_1,JAM,4.34,0.36,0.69,2017,2020,12
9P50_1,JOR,70.28,5.86,8.01,2017,2020,12
9P50_1,Japan,196628.51,16385.71,22867.81,2017,2020,12
9P50_1,KAZ,118.7,9.89,13.56,2017,2020,12
9P50_1,KEN,27.2,2.27,3.64,2017,2020,12
9P50_1,KWT,28.88,2.41,3.1,2017,2020,12
9P50_1,LBN,64.26,5.35,7.62,2017,2020,12
9P50_1,LIE,108.51,9.04,13.84,2017,2020,12
9P50_1,LKA,107.08,8.92,12.9,2017,2020,12
9P50_1,LUX,369.07,30.76,42.14,2017,2020,12
9P50_1,Latvia,147.91,12.33,16.63,2017,2020,12
9P50_1,Lithuania,168.54,14.05,17.07,2017,2020,12
9P50_1,MAR,174.21,14.52,21.06,2017,2020,12
9P50_1,MCO,33.01,2.75,3.99,2017,2020,12
9P50_1,MDA,24.83,2.07,2.91,2017,2020,12
9P50_1,MKD,24.33,2.03,3.13,2017,2020,12
9P50_1,MLT,88.3,7.36,10.83,2017,2020,12
9P50_1,MNG,5.1,0.43,0.6,2017,2020,12
9P50_1,Malaysia,980.97,81.75,112.53,2017,2020,12
9P50_1,Mexico,1052.21,87.68,115.19,2017,2020,12
9P50_1,NGA,11.1,0.92,1.46,2017,2020,12
9P50_1,NZL,1289.65,107.47,141.99,2017,2020,12
9P50_1,Netherlands,14548.25,1212.35,1607.8,2017,2020,12
9P50_1,Norway,3058.73,254.89,352.62,2017,2020,12
9P50_1,OECD Total,809849.34,67487.45,88907.87,2017,2020,12
9P50_1,PAK,49.23,4.1,7.31,2017,2020,12
9P50_1,PAN,173.9,14.49,40.11,2017,2020,12
9P50_1,PER,188.47,15.71,22.79,2017,2020,12
9P50_1,PRI,39.5,3.29,4.81,2017,2020,12
9P50_1,PRK,18.36,1.53,2.35,2017,2020,12
9P50_1,Philippines,127.81,10.65,14.71,2017,2020,12
9P50_1,Poland,1859.35,154.95,204.33,2017,2020,12
9P50_1,Portugal,1066.54,88.88,113.64,2017,2020,12
9P50_1,ROU,283.33,23.61,34.08,2017,2020,12
9P50_1,Russia,4944.06,412.01,545.28,2017,2020,12
9P50_1,SAU,2909.75,242.48,352.36,2017,2020,12
9P50_1,SLV,2.8,0.23,0.57,2017,2020,12
9P50_1,SYC,6.0,0.5,0.9,2017,2020,12
9P50_1,Singapore,4439.44,369.95,449.71,2017,2020,12
9P50_1,Slovakia,276.44,23.04,30.16,2017,2020,12
9P50_1,Slovenia,479.05,39.92,52.37,2017,2020,12
9P50_1,South Africa,1145.66,95.47,131.72,2017,2020,12
9P50_1,South Korea,76934.5,6411.21,8659.06,2017,2020,12
9P50_1,Spain,8123.23,676.94,855.15,2017,2020,12
9P50_1,Sweden,14102.24,1175.19,1629.9,2017,2020,12
9P50_1,Switzerland,12613.64,1051.14,1360.7,2017,2020,12
9P50_1,TTO,9.67,0.81,1.71,2017,2020,12
9P50_1,TUN,46.84,3.9,5.47,2017,2020,12
9P50_1,Taiwan,3602.93,300.24,385.53,2017,2020,12
9P50_1,Thailand,530.06,44.17,58.33,2017,2020,12
9P50_1,Turkey,6296.1,524.67,727.16,2017,2020,12
9P50_1,UKR,709.77,59.15,82.97,2017,2020,12
9P50_1,URY,44.09,3.67,5.0,2017,2020,12
9P50_1,UZB,7.93,0.66,1.14,2017,2020,12
9P50_1,United Kingdom,28318.17,2359.85,3029.32,2017,2020,12
9P50_1,United States,252171.94,21014.33,25878.47,2017,2020,12
9P50_1,VEN,7.62,0.63,1.01,2017,2020,12
9P50_1,World Total,1103381.0,91948.42,122903.46,2017,2020,12
9P50_1,YUG_F,0.0,0.0,0.0,2017,2020,12
9P50_1,ZWE,2.58,0.22,0.42,2017,2020,12
9P50_2,AND,2.7,0.23,0.58,2017,2020,12
9P50_2,ARE,32.18,2.68,4.38,2017,2020,12
9P50_2,ARG,109.25,6.43,5.88,2017,2021,17
9P50_2,ARM,3.79,0.32,0.52,2017,2020,12
9P50_2,Australia,3697.18,217.48,185.54,2017,2021,17
9P50_2,Austria,3365.51,197.97,186.77,2017,2021,17
9P50_2,BGR,63.26,3.72,3.44,2017,2021,17
9P50_2,BIH,1.0,0.08,0.29,2017,2020,12
9P50_2,BLR,8.43,0.7,1.15,2017,2020,12
9P50_2,BMU,0.33,0.03,0.06,2017,2020,12
9P50_2,Belgium,3660.87,215.35,187.28,2017,2021,17
9P50_2,Brazil,573.85,33.76,31.25,2017,2021,17
9P50_2,CHL,110.53,6.5,5.61,2017,2021,17
9P50_2,COL,64.22,3.78,3.69,2017,2021,17
9P50_2,CRI,26.95,1.59,2.07,2017,2021,17
9P50_2,CUB,34.36,2.86,2.11,2017,2020,12
9P50_2,CYM,5.33,0.44,0.71,2017,2020,12
9P50_2,CYP,23.07,1.36,1.25,2017,2021,17
9P50_2,Canada,6186.82,363.93,314.16,2017,2021,17
9P50_2,China,46995.67,2764.45,2553.23,2017,2021,17
9P50_2,Czech Republic,488.27,28.72,28.35,2017,2021,17
9P50_2,DJI,0.0,0.0,0.0,2017,2020,12
9P50_2,DZA,1.9,0.16,0.49,2017,2020,12
9P50_2,Denmark,2914.73,171.45,139.83,2017,2021,17
9P50_2,ECU,1.12,0.09,0.21,2017,2020,12
9P50_2,EGY,14.52,1.21,1.44,2017,2020,12
9P50_2,Estonia,78.9,4.64,4.44,2017,2021,17
9P50_2,European Union (27),99440.74,5849.46,5375.47,2017,2021,17
9P50_2,Finland,2807.24,165.13,152.79,2017,2021,17
9P50_2,France,17994.49,1058.5,958.51,2017,2021,17
9P50_2,GEO,4.25,0.35,0.69,2017,2020,12
9P50_2,GTM,0.0,0.0,0.0,2017,2020,12
9P50_2,Germany,38945.72,2290.92,2158.27,2017,2021,17
9P50_2,Greece,176.45,10.38,10.43,2017,2021,17
9P50_2,HRV,47.9,2.82,2.73,2017,2021,17
9P50_2,Hong Kong,272.19,16.01,15.14,2017,2021,17
9P50_2,Hungary,373.6,21.98,22.12,2017,2021,17
9P50_2,IRN,3.33,0.28,0.4,2017,2020,12
9P50_2,ISL,81.56,4.8,5.1,2017,2021,17
9P50_2,India,3673.59,216.09,200.15,2017,2021,17
9P50_2,Indonesia,28.26,1.66,1.98,2017,2021,17
9P50_2,Ireland,1210.1,71.18,66.98,2017,2021,17
9P50_2,Israel,6021.49,354.21,321.62,2017,2021,17
